.;2022;2023;2021;Durchschnittlicher Gasverbrauch 2018-2021;Minimum 2018-2021;Maximum 2018-2021
1;1975;1251;2330;2056;1771;2330
2;2239;1458;2465;2116;1863;2465
3;2128;2033;2089;2073;1778;2259
4;2102;2126;2276;2227;1752;2643
5;1983;1839;2131;2051;1751;2369
6;1933;1991;3084;2365;1849;3084
7;1700;1506;1921;1970;1824;2288
8;1845;1496;1384;1801;1384;2471
9;1973;1864;1814;2007;1453;2955
10;1684;1773;1843;1711;1521;1843
11;1440;1271;1965;1769;1507;1965
12;1075;1017;1486;1565;1317;2038
13;1479;1236;1049;1390;1049;1613
14;1521;1301;1732;1362;1075;1732
15;912;1061;1622;1092;696;1622
16;841;890;1165;815;463;1165
17;847;891;1093;724;551;1093
18;593;621;1141;853;586;1141
19;365;470;691;681;338;1021
20;290;497;810;718;403;857
21;377;380;786;516;285;786
22;399;311;352;364;222;459
23;289;236;288;297;223;402
24;250;213;223;289;223;389
25;225;190;260;272;232;301
26;215;206;267;243;201;267
27;239;215;264;247;226;264
28;225;182;251;279;242;324
29;188;206;243;250;207;283
30;195;232;238;214;181;249
31;187;247;284;223;170;284
32;181;252;249;216;185;249
33;178;187;297;237;188;297
34;184;189;374;262;202;374
35;213;266;382;285;199;382
36;222;205;290;309;267;352
37;323;216;365;354;298;405
38;554;261;520;422;313;535
39;713;299;578;564;481;695
40;614;421;834;805;726;840
41;633;437;1136;881;571;1136
42;568;886;1135;935;661;1249
43;513;861;1154;1034;812;1158
44;757;945;1385;1314;1071;1425
45;940;1213;1610;1359;1144;1610
46;1309;1269;1598;1568;1337;1842
47;1497;1604;1950;1825;1488;2028
48;1685;2168;2094;1904;1745;2094
49;1951;1999;2187;1981;1586;2187
50;2569;;1763;2004;1763;2196
51;1564;;2344;1897;1633;2344
52;1298;;1597;1804;1597;1960
